District,Venue,Likes,Rating,Tips
Barra Funda,Tanta Felicità Ristorante,62,7.1,34
Bela Vista,Osteria Generale,993,8.8,317
Bela Vista,Fiorana Ristorante,40,7.6,18
Bela Vista,Cantina Roperto,1043,8.0,325
Bela Vista,Cantina Lazzarella,491,8.0,243
Bela Vista,Cantina Mamma Celeste,295,7.6,170
Bela Vista,Restaurante Basilicata,35,7.3,14
Campo Belo,Agello Cucina,408,9.3,180
Campo Belo,La Cucina di Casa,195,9.1,96
Carrão ,La Pergoletta Expressa,20,8.5,4
Consolação,Abbraccio Cucina Italiana,155,8.0,23
Ipiranga,Nico Pasta & Basta,460,8.5,157
Itaim Bibi,Modern Mamma Osteria,489,8.8,138
Itaim Bibi,Due Cuochi Cucina,746,8.8,260
Itaim Bibi,Mellão,212,8.4,110
Itaim Bibi,Millesapori,73,8.6,24
Itaim Bibi,Nino Cucina & Vino,634,8.6,208
Itaim Bibi,Peppino Cantina,16,7.9,2
Itaim Bibi,La Pergoletta,53,8.2,10
Itaim Bibi,Serafina,311,7.8,102
Itaim Bibi,Supra di Mauro Maia,206,8.7,55
Itaim Bibi,Vapiano,1027,8.6,255
Itaim Bibi,Trattoria Fasano,246,8.1,67
Jaguaré,0,0,0.0,0
Jaraguá,Pizzaria Pantanal,8,5.4,9
Jardim Paulista,Restaurante Emiliano,69,9.0,19
Jardim Paulista,Mondo,115,8.3,31
Jardim Paulista,Timo Cucina,31,8.6,11
Jardim Paulista,Farfalla,88,7.3,61
Jardim Paulista,Spoleto,3,6.0,0
Lapa,Mordini,34,7.7,13
Liberdade,Capeline Rotisserie,25,5.6,13
Moema,Attimo,369,8.0,155
Moema,Benedetta Pasta e Polpettone,178,7.8,80
Pari,Rotisserie Veneza,56,8.7,14
Penha,Spoleto Culinária Italiana,33,7.5,8
Perdizes,Allora! Vino e Birra,36,8.3,8
Perdizes,Peccatore Trattoria,52,6.1,20
República,Terraço Itália,1842,8.6,536
República,La Farina,237,7.8,132
Sacomã,Cantina do Magrão,184,5.8,142
Santana,Lassù,15,8.8,6
Tatuapé,Spoleto Culinária Italiana,68,7.9,16
Tucuruvi,Spoleto,32,7.2,8
Vila Leopoldina,Mangiare Gastronomia,350,7.8,149
Vila Leopoldina,Mamaggiore,284,8.1,118
Vila Maria,Restaurante Estação,22,8.0,7
Vila Maria,trattoria da villa,2,5.6,6
Vila Sônia,Zucca Rotisserie,4,6.6,6
